id_doctors,name_doctors,medical_specialty
355,Jordan Garrett,Oncology
356,Julia Perez,Rheumatology
357,Theresa Ramsey,Oncology
358,Carolyn Mann,Cardiology
359,Terry Cameron MD,Cardiology
360,Alexander Hamilton,Endocrinology
361,Jessica Rodriguez,Oncology
362,Kayla Reyes,Rheumatology
363,Victoria Chavez,Rheumatology
364,Melinda Brown,Pneumology
365,Wendy Hooper,Cardiology
366,Pedro Harmon,Oncology
367,Lucas Phillips,Pneumology
368,Renee Brown,Oncology
369,Paula Washington,Oncology
370,Jordan Lutz,Cardiology
371,Dr. Jessica Castro,Rheumatology
372,Taylor Braun,Pneumology
373,Lori Morton,Rheumatology
374,Whitney Gibson,Rheumatology
375,Sierra Farmer,Endocrinology
376,Amy Bush,Cardiology
377,Adam Gonzales,Endocrinology
378,Troy Kim,Pneumology
379,Dwayne Mooney,Cardiology
380,Teresa Griffith DDS,Rheumatology
381,Samuel Carrillo,Oncology
382,Elizabeth Humphrey,Oncology
383,Tina Stevenson,Endocrinology
384,Angela Garcia,Oncology
385,Michael Robinson,Pneumology
386,Gina Turner,Oncology
387,Matthew Hammond,Endocrinology
388,Shannon Gonzales,Cardiology
389,Jared Diaz,Pneumology
390,Gregory Casey,Endocrinology
391,Gene Goodman,Rheumatology
392,Nancy Smith,Rheumatology
393,Brianna Cervantes,Rheumatology
394,Gregory Anderson,Endocrinology
395,Julia Wu,Oncology
396,Patrick Ochoa,Cardiology
397,Monique Meyer,Cardiology
398,Jessica Daniels,Rheumatology
399,Nicole George,Rheumatology
400,James Garza,Oncology
401,Jennifer Rose,Rheumatology
402,Nicole Leon,Cardiology
403,David Smith,Endocrinology
404,Christopher Walker,Endocrinology
405,Nathaniel White,Cardiology
406,Juan Jordan,Oncology
407,John Martin,Endocrinology
408,Eric Powell,Pneumology
409,Tammy Harris,Pneumology
410,Christopher Russell,Endocrinology
411,Joe Leonard,Endocrinology
412,Erik Noble,Pneumology
413,Benjamin Cameron,Endocrinology
414,Kelly Neal,Endocrinology
415,Elaine Medina,Endocrinology
416,Jacob Smith,Oncology
417,Rebecca Ortiz,Pneumology
418,Alyssa Collins,Rheumatology
419,James May,Oncology
420,Diamond Robbins,Rheumatology
421,Vickie Brooks,Pneumology
422,Sarah Anderson,Pneumology
423,Anthony Jones,Endocrinology
424,Jacob White,Rheumatology
425,Jane Berger,Endocrinology
426,Ryan Guerra,Endocrinology
427,Cynthia Brown,Cardiology
428,Melissa Roman,Oncology
429,Matthew Stafford,Endocrinology
430,Mr. Rodney Morrow DDS,Pneumology
431,Michael Solis,Endocrinology
432,Jeffrey Steele,Endocrinology
433,Craig Haley,Oncology
434,Shelley Lang,Rheumatology
435,Kari Patrick,Endocrinology
436,Jeremy Farley,Endocrinology
437,Brittany Keith,Endocrinology
438,Anna Knapp,Endocrinology
439,Monica Peters,Pneumology
440,Betty Evans,Oncology
441,Phillip Crawford,Endocrinology
442,Andrew Nash,Endocrinology
443,Chris Torres,Pneumology
444,Jennifer Carlson,Pneumology
445,Steven Melton,Endocrinology
446,Vanessa Gutierrez,Rheumatology
447,Crystal Wallace,Rheumatology
448,Alexis Alexander,Oncology
449,Brooke Phillips,Oncology
450,Kathy Walker,Pneumology
451,Lori Stone,Oncology
452,Justin Carter,Endocrinology
453,Laura Herrera,Oncology
454,James Novak,Endocrinology
455,Michelle Moyer,Cardiology
456,Tasha Pierce,Cardiology
457,Dustin Cunningham,Cardiology
458,Mr. Andrew Keller,Pneumology
459,Sara Howard,Endocrinology
460,Robin Lopez,Pneumology
461,John Leon,Endocrinology
462,Mr. Charles Garcia,Rheumatology
463,Jonathan Shaw,Pneumology
464,Tim Clark,Endocrinology
465,Samuel Gilbert,Cardiology
466,Miss Rachel Barnes,Oncology
467,Miguel Jones,Endocrinology
468,Lisa Salazar,Endocrinology
469,Sean Charles,Pneumology
470,Amber Madden,Cardiology
471,Charles Clayton,Endocrinology
472,Kayla Hernandez,Endocrinology
473,Amanda Shepard,Pneumology
474,Kristy Reynolds,Cardiology
475,Kristin Young,Oncology
476,Heather Burke,Oncology
477,Morgan Johnson,Pneumology
478,Francisco Cortez,Rheumatology
479,Laura Wright,Cardiology
480,Allison Schroeder,Cardiology
481,Jimmy Brown,Pneumology
482,David Phillips,Oncology
483,Timothy Hoffman,Endocrinology
484,John Mcdonald,Rheumatology
485,Debbie Fritz,Endocrinology
486,Nicole Carter,Cardiology
487,Shane Matthews,Endocrinology
488,Anthony Ross,Cardiology
489,Wesley Rice,Pneumology
490,Laura Bell,Pneumology
491,Brian Adams,Endocrinology
492,Karen Mullen,Pneumology
493,Christopher Blair,Pneumology
494,Eddie Shah,Oncology
495,Joseph Small,Pneumology
496,Teresa Cannon,Endocrinology
497,Rachel Jimenez,Oncology
498,Ashley Garcia,Oncology
499,John Brown,Rheumatology
500,Ashley Perez,Cardiology
501,Trevor Walker,Oncology
502,Paul Tanner,Cardiology
503,Autumn Washington,Endocrinology
504,Ryan Cline,Pneumology
505,Shannon Ochoa,Endocrinology
506,Matthew Wyatt,Rheumatology
507,Deborah Jones,Cardiology
508,Angela Branch,Cardiology
509,Kathleen Oconnor DDS,Endocrinology
510,Janice Morgan,Endocrinology
511,Amy Carpenter,Rheumatology
512,Denise Gonzalez,Cardiology
513,Pamela Davis MD,Rheumatology
514,Tara Jones,Endocrinology
515,Gary Baldwin,Endocrinology
516,Wendy Gallagher,Oncology
517,William Townsend,Pneumology
518,Amanda Clark,Oncology
519,Joshua Lopez,Cardiology
520,George Davis,Pneumology
521,David Richardson,Cardiology
522,Kristen Henderson,Cardiology
523,Deborah Andrews,Oncology
524,Susan Franklin,Rheumatology
525,James Fleming,Endocrinology
526,Blake Young,Cardiology
527,Bradley Jones,Endocrinology
528,Toni Hoover,Cardiology
529,Tara Kaufman,Endocrinology
530,Kathryn Boone,Pneumology
531,Penny Moore,Pneumology
532,Dana Daniels,Endocrinology
533,Carla Sanchez,Pneumology
534,Robert Johnson,Cardiology
535,Michelle Ali,Endocrinology
536,Julia Lang,Rheumatology
537,Jeffrey Bush,Cardiology
538,Sean Knight,Cardiology
539,Daniel Barnett,Endocrinology
540,Randy Carlson,Endocrinology
541,Curtis Sanchez,Oncology
542,Penny Jones,Endocrinology
543,Samuel Tran,Endocrinology
544,Jonathan Ruiz,Cardiology
545,John Sloan,Rheumatology
546,Jessica Cook,Endocrinology
547,Stephen Henderson,Endocrinology
548,Mr. Jeffrey Oliver,Endocrinology
549,Joshua Ramirez,Endocrinology
550,Luis Brown,Cardiology
551,Denise Costa,Pneumology
552,Maurice Collins,Cardiology
553,Tim Bauer,Cardiology
554,Joshua Myers,Oncology
555,Louis Vasquez,Pneumology
556,Douglas Contreras,Rheumatology
557,Julie Carr,Endocrinology
558,Mr. Samuel Garcia,Endocrinology
559,Michael Holder,Endocrinology
560,Andre Hernandez,Endocrinology
561,Chris Weeks,Endocrinology
562,Mike Allen,Cardiology
563,Adam Snyder,Pneumology
564,Anna Mclean,Oncology
565,Laura Norris,Rheumatology
566,Theresa Ingram,Rheumatology
567,Paul Walker,Pneumology
568,Mario Dillon,Pneumology
569,Amber Carter,Endocrinology
570,Michael Allen,Oncology
571,Tony Bean,Cardiology
572,Nicole Rodriguez,Pneumology
573,Eric Clark,Endocrinology
574,Nichole Lewis,Pneumology
575,Wanda Meyers,Rheumatology
576,Steven Smith,Cardiology
577,Carl Sanders,Cardiology
578,Dr. Robert Massey,Endocrinology
579,Eric Knox,Pneumology
580,Eric Marquez,Endocrinology
581,Seth Lewis,Oncology
582,James Phillips,Rheumatology
583,Gregory Smith,Pneumology
584,Colleen Miller,Cardiology
585,Christopher Henry,Oncology
586,Wendy Santiago,Rheumatology
587,Paul Hill,Endocrinology
588,Jay Lopez,Pneumology
589,John Diaz,Endocrinology
590,George May,Oncology
591,Daniel Stephens,Cardiology
592,Joe Avery,Endocrinology
593,Chad Riley,Endocrinology
594,Mrs. Tammy Rose,Cardiology
595,Mindy Lindsey,Pneumology
596,Linda Gomez,Rheumatology
597,Diana Cooper,Endocrinology
598,Sheri Mclean,Rheumatology
599,Julia Murray,Oncology
600,Kristi Leblanc,Pneumology
601,Robert Morgan,Rheumatology
602,Renee Ford,Endocrinology
603,James Roberson,Endocrinology
604,Ricky Ryan,Endocrinology
605,Jordan Moss,Pneumology
606,Mr. Seth Watson II,Pneumology
607,Norman Williams,Pneumology
608,Holly Chan,Endocrinology
609,Lori Chandler,Endocrinology
610,Christopher Owens,Oncology
611,Steven Allen,Rheumatology
612,Derrick Krause,Cardiology
613,Ryan Kirk,Pneumology
614,Kyle Miller,Endocrinology
615,Jessica Yu,Oncology
616,Michelle Lopez,Cardiology
617,Alexander Cruz,Oncology
618,Derek Martin,Endocrinology
619,Carol Brown,Pneumology
620,Mr. Mark Nguyen,Pneumology
621,Kimberly Garcia,Rheumatology
622,Dylan Andrews,Pneumology
623,Amber Welch,Oncology
624,Zachary Fuentes,Oncology
625,Jared Marshall,Pneumology
626,Mr. Timothy Santiago,Endocrinology
627,Matthew Kennedy,Rheumatology
628,Thomas Rice,Rheumatology
629,Kristi Chan,Pneumology
630,Mark Watkins,Rheumatology
631,Hunter Carter,Endocrinology
632,George Jones,Oncology
633,Gregory Patton,Rheumatology
634,Duane Lane,Rheumatology
635,Jesse Bailey,Oncology
636,Laurie Floyd,Endocrinology
637,Alexandria Potts,Oncology
638,Jessica Jackson,Cardiology
639,Julie Moreno,Oncology
640,Carla Dougherty,Endocrinology
641,Franklin Martin,Oncology
642,Adrian Davis,Rheumatology
643,Anthony Davis,Endocrinology
644,Kristen Sherman,Cardiology
645,Heather Burns,Oncology
646,Mrs. Lindsey Howell,Cardiology
647,Xavier Wright,Cardiology
648,Patty Murphy,Endocrinology
649,Emily Watson,Rheumatology
650,Russell Smith,Rheumatology
651,Melissa Cervantes,Pneumology
652,Anthony Cole,Endocrinology
653,Peggy Bailey,Oncology
654,David Jennings,Endocrinology
655,Connie Johnson,Endocrinology
656,Ashley Brooks,Oncology
657,Jasmine Russell,Rheumatology
658,Charles Weber,Endocrinology
659,Joseph Banks,Endocrinology
660,Beverly Carlson,Cardiology
661,Michael Dougherty,Oncology
662,Karen Rogers,Oncology
663,Jake White,Rheumatology
664,David Dean,Rheumatology
665,Randy Scott,Endocrinology
666,Luke Lawrence,Pneumology
667,Sean Warren,Endocrinology
668,Michele Cruz,Endocrinology
669,Jordan Shelton,Oncology
670,Philip Mullins,Endocrinology
671,Garrett Benton,Cardiology
672,Michelle Kennedy,Oncology
673,Mary Gonzales,Cardiology
674,Dana Black,Oncology
675,Anthony Hernandez,Cardiology
676,Cory Campbell,Pneumology
677,Michael Kelly,Endocrinology
678,Jacob Olson,Cardiology
679,Kendra Shields,Endocrinology
680,Deanna Williams MD,Oncology
681,Nicholas Bailey,Pneumology
682,Kimberly Henry,Oncology
683,Henry Garcia,Cardiology
684,Madeline Smith,Pneumology
685,Brian Barnett,Rheumatology
686,Nicholas Valenzuela,Oncology
687,Donna Hicks,Endocrinology
688,Amanda Stout,Pneumology
689,Adrian Boyd,Pneumology
690,Dr. Ann Mcdonald,Rheumatology
691,Christine Lewis,Endocrinology
692,Carol Harris,Oncology
693,Tracy Ward,Rheumatology
694,Maria Walker,Endocrinology
695,Carol Park,Cardiology
696,Lisa Bennett,Endocrinology
697,Sandra Cross,Endocrinology
698,Danny Mcdaniel,Cardiology
699,Mary Williams,Pneumology
700,Susan Olson,Rheumatology
701,Kendra Flores,Oncology
702,Sylvia Avery,Rheumatology
703,Deanna Baldwin,Rheumatology
704,Michael Strickland,Cardiology
705,Mary Carson,Cardiology
706,Pamela Patel,Rheumatology
707,Michael Sexton,Cardiology
708,David Gregory,Cardiology
709,Elizabeth Vance,Endocrinology
710,Mark Dunn,Pneumology
711,Pamela Taylor,Endocrinology
712,Michael Waters,Endocrinology
713,Michele Henderson,Cardiology
714,Carrie Becker,Pneumology
715,Robert Burton,Oncology
716,Jason Coleman,Endocrinology
717,Amy Simmons,Endocrinology
718,Matthew Rodriguez,Cardiology
719,Ryan Castillo,Oncology
720,Ellen Spence,Endocrinology
721,Mr. Adam Ramirez,Endocrinology
722,Joshua Miller,Pneumology
723,Steven Serrano,Rheumatology
724,Daniel Mack,Oncology
725,Mike Alvarez,Oncology
726,Lori Horton,Endocrinology
727,Linda Tran,Pneumology
728,Erin Scott,Pneumology
729,Aaron Johnson,Pneumology
730,Alice Gross DVM,Oncology
731,Diana Castro,Pneumology
732,Michael Flores,Endocrinology
733,Cynthia Freeman,Rheumatology
734,Steven Hawkins,Cardiology
735,Gina Daniel,Endocrinology
736,Alexander Jones,Endocrinology
737,Jeffrey Jackson,Cardiology
738,Brittany Gilbert,Cardiology
739,Tony Wright,Endocrinology
740,Sheri Garcia,Oncology
741,Charles James,Pneumology
742,Dawn Graves,Cardiology
743,Debbie Fisher,Endocrinology
744,Mr. Aaron Chase,Rheumatology
745,Natalie Smith,Cardiology
746,Paula Chavez,Endocrinology
747,Stephanie Smith,Cardiology
748,Richard Freeman,Rheumatology
749,Gerald Green,Rheumatology
750,Patrick Williams,Cardiology
751,James Flynn,Oncology
752,Barbara Cantrell,Rheumatology
753,Rebecca Myers,Endocrinology
754,Matthew Olsen,Endocrinology
755,Kelly Guerrero,Endocrinology
756,Jason Williams,Endocrinology
757,Misty Allen,Cardiology
758,Heather Livingston,Endocrinology
759,Christine Frey,Oncology
760,Kevin Higgins,Endocrinology
761,Leslie Cook,Endocrinology
762,Thomas Hutchinson,Endocrinology
763,Lacey Keith,Endocrinology
764,Lindsay Curry,Endocrinology
765,Amy Williams,Endocrinology
766,Dawn Hughes,Pneumology
767,Michael Evans,Endocrinology
768,Craig Harris,Endocrinology
769,Ashley Kim,Cardiology
770,Nicole King,Pneumology
771,Shannon Rodriguez,Rheumatology
772,David Lopez,Cardiology
773,Samantha May,Rheumatology
774,Shannon Perry,Oncology
775,Debra Parsons,Oncology
776,Michael Taylor,Pneumology
777,Elizabeth Ashley,Cardiology
778,Frances Watson,Endocrinology
779,Lisa Hill,Cardiology
780,Stephen Fletcher,Pneumology
781,Paul Ward,Endocrinology
782,Janice Lee,Cardiology
783,Robert George,Endocrinology
784,Sarah Holden,Endocrinology
785,Robert Edwards,Cardiology
786,Robert Brown,Rheumatology
787,Erin Yang,Pneumology
788,Justin Lynch,Cardiology
789,Brittany Lewis,Endocrinology
790,Meredith Harris,Pneumology
791,Melissa Wyatt,Endocrinology
792,Jeffrey White,Endocrinology
793,Robert Fisher,Endocrinology
794,Brandon Hines,Endocrinology
795,Sergio Johnson,Rheumatology
796,Eric Thomas,Oncology
797,Nancy Lewis,Endocrinology
798,Mrs. Cheryl Gomez,Endocrinology
799,William Alexander,Cardiology
800,Dawn Alvarez,Rheumatology
801,Allen Powers,Oncology
802,Paula Gonzalez,Cardiology
803,Richard Rhodes,Cardiology
804,Cassidy Williams,Rheumatology
805,Kenneth Nunez,Rheumatology
806,James Larsen,Rheumatology
807,John Webb,Rheumatology
808,Jon Rodriguez,Pneumology
809,Angela Lee,Cardiology
810,Dr. Gabriel Gibson,Oncology
811,Traci Henderson,Rheumatology
812,John Duncan,Pneumology
813,Andre Schultz,Endocrinology
814,Mark Thompson,Oncology
815,Luis Cabrera,Cardiology
816,Christine Stein,Endocrinology
817,Kara Curry,Pneumology
818,Jeremy Mills,Endocrinology
819,Angela Gomez,Oncology
820,Dr. Tyler Anthony,Endocrinology
821,Kristen Hancock,Cardiology
822,Edward Figueroa PhD,Pneumology
823,Jennifer Carr,Endocrinology
824,Joshua Blackwell,Cardiology
825,Kevin Ryan,Endocrinology
826,Pamela Williams,Endocrinology
827,Jason Chase,Pneumology
828,Michael Lloyd,Cardiology
829,Christopher Mcfarland,Cardiology
830,Theresa Thomas,Pneumology
831,Mrs. Theresa Rosales MD,Rheumatology
832,Claire Young,Oncology
833,Jose Boone,Cardiology
